codigoCurso,nomeCurso,codigoUnidadeOrganizacional,quantPeriodos
129,CIÊNCIAS CONTÁBEIS,4000000001,
130,NUTRIÇÃO,4000000001,
131,SERVIÇO SOCIAL,4000000001,
140,DIREITO,4000000001,
144,ADMINISTRAÇÃO,4000000001,
146,LICENCIATURA EM EDUCAÇÃO FÍSICA,4000000001,
147,GRADUAÇÃO EM EDUCAÇÃO FÍSICA,4000000001,
154,ENGENHARIA ELÉTRICA,4000000001,
157,HISTÓRIA,4000000001,
161,CURSO SUPERIOR DE TECNOLOGIA EM MARKETING,4000000001,
165,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO DE RECURSOS HUMANOS,4000000001,
166,DESIGN,4000000001,
167,GRADUAÇÃO EM CIÊNCIAS BIOLÓGICAS-(ÊNFASE EM BIOTECNOLOGIA),4000000001,
168,LETRAS-PORTUGUÊS/INGLÊS,4000000001,
169,ENGENHARIA DE PRODUÇÃO,4000000001,
175,JORNALISMO,4000000001,
176,PUBLICIDADE E PROPAGANDA,4000000001,
180,CIÊNCIAS BIOLÓGICAS - LICENCIATURA,4000000001,
186,CIÊNCIAS BIOLÓGICAS,4000000001,
187,EDUCAÇÃO FÍSICA,4000000001,
201,ENGENHARIA,4000000001,
217,CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SIS,4000000001,
228,ENGENHARIA AMBIENTAL E SANITÁRIA,4000000001,
229,ENGENHARIA DA COMPUTAÇÃO,4000000001,
300,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO AMBIENTAL,4000000001,
400,ENGENHARIA CIVIL,4000000001,
401,CIÊNCIAS CONTÁBEIS,4000000001,
402,ADMINISTRAÇÃO,4000000001,
403,HISTÓRIA,4000000001,
404,CURSO SUPERIOR DE TECNOLOGIA EM MARKETING,4000000001,
405,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO DE RECURSOS HUMANOS,4000000001,
406,LETRAS-PORTUGUÊS/INGLÊS,4000000001,
407,ENGENHARIA DE PRODUÇÃO,4000000001,
409,CURSO SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SIS,4000000001,
411,ENGENHARIA DA COMPUTAÇÃO,4000000001,
423,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA,4000000001,
424,CURSO SUPERIOR DE TECNOLOGIA EM COMÉRCIO EXTERIOR,4000000001,
425,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL,4000000001,
426,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO DE NEGÓCIOS IMOBILIÁRIOS,4000000001,
427,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO FINANCEIRA,4000000001,
428,CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS,4000000001,
429,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO PÚBLICA,4000000001,
C1,Curso Teste,4000000001,
